,https://roic.ai/company/TAP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22143000,37387000,55900000,22800000,27400000,24700000,14000000,19500000,23500000,18400000,29900000,58300000,42600000,8500000,24200000,32100000
77,Change in Working Capital,- -,- -,- -,- -,-7700000,- -,- -,- -,-25000000,- -,63857000,86143000,33000000,7000000,55000000,-101585000,-29415000,-183000000,39000000,146000000,-860000000,427240000,382760000,80000000,61000000,705000000,-46200000,-1691800000,246600000,-142000000,788000000,-1029500000,-221700000,-325000000,23500000,20300000,-36100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1400000,-32000000,-34300000,-5800000,5100000,5627000,2135000,18076000,14051000,4176000,-4373000,-3087000,-5199000,39210000,-5549000,-3441000,47233000,7825000,-23133000,39300000,-11700000,-10100000,-17100000,54100000,4200000,-16500000,10900000,-23200000,21300000,-10600000,-17700000,-46200000,-143900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16724000,4151000,-27483000,-10500000,21000000,45300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-25000000,38857000,125000000,158000000,165000000,220000000,118415000,89000000,-94000000,-55000000,91000000,-769000000,-341760000,41000000,121000000,182000000,887000000,840800000,-851000000,-604400000,-746400000,41600000,-987900000,-1209600000,-1534600000,-1511100000,-1490800000,-40100000
82,Other Non-Cash Items,- -,- -,- -,- -,46200000,71900000,17800000,92000000,142700000,-10597000,-138024000,-72848000,43430000,-919000,-121617000,141232000,-2104000,52065000,33030000,-117684000,777510000,-416892000,-549005000,-470900000,-294800000,-961000000,-42700000,1873300000,31900000,563900000,-835700000,-1288500000,-144100000,414500000,530900000,1376400000,-444800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,160200000,231000000,164100000,155800000,168500000,186426000,90097000,195112000,260553000,181145000,169788000,285417000,193396000,258545000,544138000,499908000,422275000,833244000,616037000,411500000,824200000,749700000,868100000,983700000,1168200000,1272600000,696400000,1126900000,1866300000,2331300000,1897300000,1695700000,1573500000
84,CAPEX,- -,- -,- -,- -,-149600000,-302000000,-354500000,-115500000,-120400000,-160314000,-145797000,-64799000,-60373000,-104505000,-134377000,-154324000,-244548000,-239547000,-240355000,-211530000,-406045000,-446376000,-428349000,-230500000,-124700000,-177900000,-235400000,-222300000,-293900000,-259500000,-275000000,-341800000,-599600000,-651700000,-593800000,-574800000,-522600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1587300000,- -,- -,-16561000,79465000,-26700000,-52400000,-76100000,-25500000,-137300000,-2324700000,-40500000,10200000,-84100000,-12127800000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122800000,-101682000,-94970000,-356741000,-228237000,- -,- -,- -,-25369000,-27982000,-55729000,-31500000,-25500000,-19900000,-9900000,-110600000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,61200000,600000,- -,- -,- -,- -,- -,- -,39499000,62393000,105920000,208176000,268093000,232758000,- -,- -,42460000,34152000,32352000,48600000,32100000,51700000,22400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-3700000,-7600000,4700000,-24900000,1100000,-14357000,29625000,7887000,15748000,19753000,32664000,5348000,7943000,9751000,10431000,144082000,92807000,65928000,39279000,-3700000,100000,-95800000,22100000,22500000,57400000,9900000,24400000,183000000,61400000,-17400000,160500000,161200000,12700000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-92100000,-309000000,-349800000,-140400000,-119300000,-174671000,-116172000,-56912000,-127926000,-124041000,-90763000,-297541000,-196749000,-1584338000,-229924000,-67448000,-312708000,-294813000,-439147000,-269500000,-194100000,-267400000,-338100000,-2635100000,-277000000,-239400000,-334700000,-12286600000,-538200000,-669100000,-433300000,-413600000,-509900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2471614000,-446368000,-811549000,-245300000,-23400000,-343300000,-133900000,-773200000,-1332200000,-588300000,-701400000,-223900000,-3000100000,-319800000,-1586200000,-918900000,-1006600000
91,Common Stock Issued,- -,- -,- -,- -,4100000,9100000,1600000,5000000,7400000,2102000,4117000,649000,24588000,9823000,9728000,17232000,10701000,15645000,2491000,66764000,55229000,83348000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2525600000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9936000,-2950000,-60151000,-27599000,-20722000,-19989000,-72345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321100000,- -,- -,- -,-150100000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-18400000,-18600000,-18700000,-18800000,-19000000,-19146000,-19066000,-18983000,-20523000,-21893000,-23745000,-26564000,-29510000,-29669000,-29820000,-37753000,-109960000,-128353000,-131769000,-159400000,-170400000,-201100000,-228100000,-232200000,-234600000,-273600000,-303400000,-352900000,-353400000,-354200000,-424400000,-125300000,-147800000
94,Other Financing Activites,- -,- -,- -,- -,-20400000,107400000,153700000,23400000,5000000,-49976000,55884000,-38000000,-15956000,-26360000,-41692000,-2235000,52310000,1305692000,-330064000,-364675000,2337570000,90134000,951753000,137800000,76600000,536800000,18000000,2176800000,507600000,59900000,642900000,9369100000,1857100000,-334900000,3600000,-26200000,-17800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-34700000,97900000,136600000,9600000,-6600000,-67020000,30999000,-59284000,-72042000,-66029000,-76431000,-31556000,-38844000,1291668000,-357393000,-335664000,-188775000,-401239000,8435000,-266900000,-117200000,-7600000,-665100000,1171400000,-1059200000,-802000000,-512000000,11317900000,-1496400000,-1008900000,-2007000000,-1070400000,-1172200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,222000,294000,-397000,-2615000,88000,1176000,-367000,-431000,16159000,3452000,6777000,-4392000,5581000,9512000,-35900000,5100000,8700000,-3600000,25100000,-13700000,-48900000,-43400000,-28200000,26000000,-14000000,8500000,35000000,-24100000
97,Net Change In Cash,- -,- -,- -,- -,-34700000,97900000,136600000,9600000,-6600000,-55043000,5218000,78519000,57970000,-8837000,3770000,-44047000,-42628000,-17966000,-39727000,103573000,-83600000,142773000,194837000,-160800000,518000000,483400000,-138700000,-454900000,-181700000,182300000,-193700000,130000000,-142300000,639300000,-534500000,246700000,-132700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,27168000,32386000,110905000,168875000,160038000,163808000,119761000,77133000,59167000,19440000,123013000,39413000,182186000,377023000,216200000,734200000,1217600000,1078900000,624000000,442300000,624600000,430900000,560900000,418600000,1057900000,523400000,770100000,637400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,10400000,43900000,63700000,14700000,39700000,82211000,27168000,32386000,110905000,168875000,160038000,163808000,119761000,77133000,59167000,19440000,123013000,39413000,182186000,377000000,216200000,734200000,1217600000,1078900000,624000000,442300000,624600000,430900000,560900000,418600000,1057900000,523400000,770100000
100,Free Cash Flow,- -,- -,- -,- -,10600000,-71000000,-190400000,40300000,48100000,26112000,-55700000,130313000,200180000,76640000,35411000,131093000,-51152000,18998000,303783000,288378000,16230000,386868000,187688000,181000000,699500000,571800000,632700000,761400000,874300000,1013100000,421400000,785100000,1266700000,1679600000,1303500000,1120900000,1050900000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24545/000002454595000003/0000024545-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454596000003/0000024545-96-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24545/000002454502000003/0000024545-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746903010404/a2106472z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000110465904007268/a04-3237_110k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746905006237/a2152593z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746906003212/a2168095z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000110465907015086/a07-5287_110k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746908001563/a2182586z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000104746909001758/0001047469-09-001758-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746910001028/0001047469-10-001028-index.html,https://www.sec.gov/Archives/edgar/data/24545/000104746911001088/a2202044z10-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000144530512000454/0001445305-12-000454-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454513000005/0000024545-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454514000004/tap2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454515000004/tap2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454516000054/0000024545-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454517000005/0000024545-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454518000009/0000024545-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454519000007/0000024545-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454520000005/0000024545-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/000002454521000004/0000024545-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/24545/000002454522000005/0000024545-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
