,https://roic.ai/company/UBA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-4350000,-3150000,-6110000,-7000000,- -,-2900000,-15900000,-7700000,-27600000,-29800000,-6500000,-7200000,-29600000,-9700000,-6642000,-11695000,-2814000,-86329000,-9447000,-77029000,-16628000,-16212000,-8691000,-3002000,-27049000,-8134000,-6523000,-9494000,-19303000,-12175000,-21462000,-9676000,-8184000,-18681000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1627000,-6619000,-36043000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18003000,-6902000,-247000,-700000,313000,-667000,1217000,27000,514000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25145000,- -,- -,- -,- -,- -,- -,-3239000,- -,-24927000,-6476000,-29322000,- -,- -,-72237000,-30599000,-4999000,- -,-6983000,-955000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,4000000,3100000,- -,3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15613000,7323000,255000,1174000,133000,85000,3620000,- -,- -,- -,30782000,- -,- -,- -,- -,- -,5970000,7240000,- -
88,Other Investing Activites,- -,- -,- -,37610000,3370000,-2210000,11900000,200000,4500000,-19200000,-7700000,-26300000,-13200000,11700000,-7500000,-31100000,-10600000,-1635000,-4343000,-3772000,-85431000,-9739000,-61603000,-21303000,-19590000,-33779000,-474000,-24146000,-9455000,2221000,-23594000,-28419000,-92612000,14346000,56224000,-12626000,-12712000,-19104000,-4000
89,Cash Used for Investing Activites,- -,- -,- -,33260000,220000,-8320000,4900000,4200000,7600000,-19200000,-4500000,-26300000,-13200000,11700000,-7500000,-31100000,-10600000,-3262000,-10962000,-64960000,-69818000,-2416000,-61348000,-20129000,-19457000,-33694000,-3095000,-51195000,-42516000,-10778000,-49631000,-54624000,-105034000,-80053000,16262000,-26476000,-24206000,-18820000,-445000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-5300000,-200000,-200000,-800000,-300000,-2900000,-31200000,-6100000,-37800000,-15000000,-7861000,-35190000,-17256000,-1841000,-1826000,-23673000,-7445000,-10059000,-32194000,-44437000,-39728000,-6589000,-103299000,-47323000,-79047000,-135459000,-87494000,-106451000,-33051000,-87537000,-7089000,-76533000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1014000,46013000,717000,47799000,244000,248000,59983000,73842000,200000,196000,193000,149000,148000
92,Common Stock Repurchased,- -,- -,- -,1140000,620000,440000,390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-505000,- -,- -,- -,-22421000,- -,-64613000,- -,-129375000,-120000,- -,-75000000,-1049000
93,Dividends Paid,- -,- -,- -,-13480000,-11440000,-10760000,-10790000,-8900000,-7400000,-6100000,-5700000,-5900000,-6100000,-6500000,-6500000,-9400000,-10600000,-10859000,-11944000,-16411000,-23494000,-26285000,-29411000,-32425000,-33065000,-35969000,-37712000,-38877000,-41267000,-42598000,-46604000,-45928000,-49992000,-51372000,-55556000,-53876000,-55389000,-44206000,-42675000
94,Other Financing Activites,- -,- -,- -,-20050000,-2100000,-230000,-540000,-3900000,-700000,11900000,7000000,27800000,11600000,10900000,5400000,66400000,20600000,7284000,69174000,92690000,40084000,3274000,79481000,876000,14692000,54306000,50800000,43950000,31796000,129935000,39636000,198520000,177609000,85663000,213328000,43354000,178416000,29799000,30147000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-32390000,-12920000,-10550000,-10940000,-18100000,-8300000,5600000,500000,21600000,2600000,-26800000,-7200000,19200000,-5000000,-11436000,22040000,59023000,14749000,-24837000,26397000,-38994000,-28432000,-13857000,-30840000,11358000,-15343000,31837000,-76468000,73793000,-12472000,20639000,-77854000,-43497000,35683000,-96347000,-89962000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,14690000,-1980000,-8210000,3460000,-18100000,-8300000,5600000,500000,21600000,2600000,-26800000,-7200000,2000000,-1200000,-806000,32128000,12595000,-23893000,3491000,554000,-23694000,1418000,-2554000,8676000,5335000,-11146000,73563000,-75147000,70084000,-66406000,648000,1403000,1611000,83794000,-53284000,-16738000
98,Cash at the End of Period,- -,- -,- -,38390000,13420000,8290000,15760000,- -,- -,- -,- -,- -,- -,- -,- -,4000000,2700000,1952000,34080000,46342000,22449000,25940000,26494000,2800000,4218000,1664000,10340000,15675000,4529000,78092000,2945000,73029000,6623000,7271000,8674000,10285000,94079000,40795000,24057000
99,Cash at the Beginning of Period,- -,- -,- -,23700000,15400000,16500000,12300000,8700000,3100000,10200000,4500000,7100000,8700000,7100000,1800000,2000000,3900000,2758000,1952000,33747000,46342000,22449000,25940000,26494000,2800000,4218000,1664000,10340000,15675000,4529000,78092000,2945000,73029000,6623000,7271000,8674000,10285000,94079000,40795000
100,Free Cash Flow,- -,- -,- -,9470000,7560000,4560000,2500000,8100000,5000000,-8000000,-1200000,-21200000,-20800000,3300000,7600000,-15700000,4700000,7250000,9355000,15718000,-55153000,21297000,-41524000,18801000,33095000,36306000,39609000,18123000,38579000,45981000,50952000,50915000,51100000,60062000,62995000,71584000,72317000,61883000,73669000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029800/000102980007000003/form10k2006.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980008000003/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980009000003/form10k2008.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980010000002/form10k2009.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980011000002/form10k2010.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980012000004/form10k2011.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980013000005/form10k2012.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980014000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980015000004/form10k2014.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980016000052/form10k2015.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980017000007/form10k2016.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980018000010/form10k2017.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980019000008/form10k2018.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980020000008/form10k2019.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980021000016/0001029800-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980022000008/0001029800-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
