,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1985,2661600000,2337600000,324000000,0.1217,,,,127800000.0,66000000,193800000,2531400000,,,66000000,132400000,0.0497,130200000,0.0489,-63800000,66400000,0.0249,31700000,34700000,0.013,0.27,0.27,93584906,93584906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,2.83,2.2,2.525,0.855,10153196.5,0.0,0.2468,1.1018
1986,1880100000,1652100000,228000000,0.1213,,,,127800000.0,158100000,285900000,1938000000,,,158100000,-23700000,-0.0126,-57900000,-0.0308,-123900000,-181800000,-0.0967,-81900000,-99900000,-0.0531,-1.09,-1.09,100366972,100366972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,2.23,1.83,1.89,0.63,6340386.5,0.0,0.2468,0.8768
1987,628500000,652500000,-24000000,-0.0382,,,,,33300000,33300000,685800000,,,33300000,42300000,0.0673,-57300000,-0.0912,80600000,23300000,0.0371,-8600000,17600000,0.028,0.06,0.06,103333333,103333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,2.685,2.045,2.31,0.78,12330254.0,0.0,0.2468,1.0268000000000002
1988,770600000,698200000,72400000,0.094,,,,,33700000,33700000,731900000,,,33700000,68100000,0.0884,38700000,0.0502,-4300000,34400000,0.0446,3800000,30600000,0.0397,0.14,0.14,104444444,104444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725,1.86,1.63,1.755,0.595,11309115.0,0.0,0.2468,0.8418
1989,941300000,837200000,104100000,0.1106,,,,,34400000,34400000,871600000,,,34400000,93700000,0.0995,69700000,0.074,-10400000,59300000,0.063,17800000,41500000,0.0441,0.24,0.24,115102041,118736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500000.0,34400000.0,16700000.0,,-51300000.0,,,,,2100000.0,43400000.0,-36900000.0,,,,-18000000.0,-54900000.0,,,-5800000.0,-18500000.0,30000000.0,5700000.0,,5700000.0,,20900000.0,6500000.0,3.325,3.74,3.2,3.4,1.15,30273605.5,0.03429,0.28109,1.43109
1990,1168900000,885000000,283900000,0.2429,,,,113900000.0,35600000,149500000,1034500000,,,35600000,181200000,0.155,134400000,0.115,11200000,145600000,0.1246,50900000,94700000,0.081,0.58,0.58,151688312,151688312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94700000.0,35600000.0,46600000.0,,,,,,,19500000.0,196400000.0,-137800000.0,,,,-74700000.0,-212500000.0,,64400000.0,-1200000.0,-17100000.0,6700000.0,52800000.0,,52800000.0,,15100000.0,58600000.0,3.555,3.83,3.325,3.555,1.22,15726906.0,0.05943,0.34052,1.56052
1991,1011800000,740600000,271200000,0.268,,,,115300000.0,36600000,151900000,892500000,,,36600000,183000000,0.1809,119300000,0.1179,27100000,146400000,0.1447,47700000,98700000,0.0975,0.57,0.57,162631579,162631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98700000.0,36600000.0,45500000.0,,,,,,,2000000.0,182800000.0,-229700000.0,,,,-58100000.0,-287800000.0,,,-46200000.0,-20400000.0,133700000.0,67100000.0,,67100000.0,,51700000.0,-46900000.0,5.41,5.87,5.140000000000001,5.5,1.92,13433227.0,0.07771,0.41823,2.33823
1992,1234600000,1052400000,182200000,0.1476,,,,,48200000,48200000,1100600000,,,48200000,179600000,0.1455,134000000,0.1085,-2600000,131400000,0.1064,47500000,83900000,0.068,0.48,0.48,169896907,169896907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83900000.0,48200000.0,26200000.0,,,,,,,-5800000.0,152500000.0,-282800000.0,,-8600000.0,,-37300000.0,-328700000.0,,66000000.0,-1200000.0,-19200000.0,124900000.0,170500000.0,,170500000.0,,13900000.0,-130300000.0,6.215,6.4,5.255,5.83,2.065,11900313.5,0.0959899999999999,0.51422,2.57922
1993,1222200000,1067200000,155000000,0.1268,,,,,79500000,79500000,1146700000,,,79500000,147700000,0.1208,75500000,0.0618,-7300000,68200000,0.0558,31800000,36400000,0.0298,0.2,0.2,171219512,171219512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36400000.0,79500000.0,15300000.0,,,,,,,10100000.0,141300000.0,-159600000.0,,-6200000.0,,31700000.0,-134100000.0,,3800000.0,-1200000.0,-21100000.0,10400000.0,-8100000.0,,-8100000.0,,8200000.0,-18300000.0,5.255000000000001,5.585,5.045,5.215,1.88,11048525.5,0.10513,0.6193500000000001,2.49935
1994,1837400000,1609100000,228300000,0.1243,,,,,102400000,102400000,1711500000,,,102400000,145200000,0.079,125900000,0.0685,-83100000,42800000,0.0233,15900000,26900000,0.0146,0.04,0.04,386666667,386666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26900000.0,102400000.0,12200000.0,,,,,,,-73400000.0,68100000.0,-80700000.0,,-133500000.0,,-15700000.0,-229900000.0,,171100000.0,-1200000.0,-31200000.0,42100000.0,180800000.0,,180800000.0,,7300000.0,-12600000.0,4.67,5.015000000000001,4.43,4.615,1.7,7570260.0,0.11884,0.7381900000000001,2.43819
1995,3019800000,2617600000,402200000,0.1332,,,,78100000.0,135300000,213400000,2831000000,,,135300000,230400000,0.0763,188800000,0.0625,-93700000,95100000,0.0315,35300000,59800000,0.0198,0.28,0.28,174545455,174545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59800000.0,135300000.0,4700000.0,,,,,,,-44000000.0,155800000.0,-124600000.0,,-2000000.0,,-22000000.0,-148600000.0,,1700000.0,-5800000.0,-34600000.0,33300000.0,-5400000.0,,-5400000.0,,26200000.0,31200000.0,4.885,5.27,4.585,5.085000000000001,1.91,8517009.5,0.11884,0.8570300000000002,2.76703
1996,4990700000,4569700000,421000000,0.0844,,,,81700000.0,138400000,220100000,4789800000,,,138400000,252100000,0.0505,200900000,0.0403,-87200000,113700000,0.0228,41000000,72700000,0.0146,0.35,0.35,175428571,175428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72700000.0,138400000.0,20000000.0,,,,,,,44700000.0,275800000.0,-128500000.0,,,1100000.0,-28800000.0,-156200000.0,,7200000.0,-5800000.0,-34200000.0,-95000000.0,-127800000.0,,-127800000.0,,28100000.0,147300000.0,5.625,5.945,5.3100000000000005,5.645,2.16,11523320.0,0.11884,0.9758700000000002,3.1358700000000006
1997,5756200000,5426400000,329800000,0.0573,,53600000.0,,53600000.0,65200000,118800000,5545200000,,,65200000,225100000,0.0391,211000000,0.0367,-35400000,175600000,0.0305,63800000,96100000,0.0167,0.44,0.43,206648000,220516000,9900000.0,,9900000.0,366300000.0,369400000.0,43400000.0,789000000.0,1592500000.0,,,,,,111500000.0,1704000000.0,,2493000000.0,414300000.0,122000000.0,,,61000000.0,597300000.0,430200000.0,,256900000.0,49800000.0,736900000.0,,,1334200000.0,,,47600000.0,-540000000.0,1651200000.0,1158800000.0,2493000000.0,,2493000000.0,96100000.0,65200000.0,32300000.0,,191700000.0,,,,191700000.0,-164200000.0,221100000.0,-122000000.0,,,1400000.0,-366100000.0,-486700000.0,,59100000.0,-10600000.0,-5400000.0,232400000.0,275500000.0,,275500000.0,,,99100000.0,7.45,7.899999999999999,7.1,7.66,3.26,35675558.0,3.23812,4.21399,7.47399
